薬剤一般名,薬剤商品名,効果効能,Tmax/hr,薬効分類,効果発現時間,注意点
アドレナリン注0.1%シリンジ,,"ショック, 心停止, 急性低血圧の補助治療",,アドレナリン注射薬,,α、β受容体を刺激
ノルアドレナリン1mg,,"ショック, 急性低血圧の補助治療",,血圧上昇剤,,
ミオコールスプレー0.3mg,,狭心症発作の寛解,,硝酸薬,,体内で一酸化窒素を生成し、この物質が心臓の冠動脈を拡げ血流量を増やし、心臓に酸素などを補給したり全身の血管抵抗を減らすことで心臓の負担を軽くする薬
アトロピン注0.05%シリンジ,,"ECTの前投与, 有機燐系殺虫剤中毒, 胃十二指腸潰瘍における運動亢進",,アトロピン製剤,,抗コリン作用
ペルジピン10mg,,心不全,,カルシウム拮抗薬（ジヒドロピリジン系カルシウム拮抗薬）,,末梢血管や冠動脈を広げることで血圧を下げたり、狭心症の発作を予防する薬
ニトログリセリン5mg,,"不安定狭心症, 心不全",,硝酸薬,,体内で一酸化窒素を生成し、この物質が心臓の冠動脈を拡げ血流量を増やし、心臓に酸素などを補給したり全身の血管抵抗を減らすことで心臓の負担を軽くする薬
ワソラン5mg,,頻脈性不整脈,,C++拮抗性不整脈治療剤,,心筋細胞内へのCa（カルシウム）イオンの流入を阻害し、心筋の異常な収縮を抑えることで乱れた脈（主に頻脈）を整える薬
ジゴシン0.25mg,,"心不全, 頻脈",,ジギタリス製剤,,心筋の収縮力を強くし、速くなりすぎた脈を整え、心不全などの治療に使用される薬
静注用キシロカイン2%100mg,,不整脈,,Naチャネル遮断薬,,"脈に関与する電気信号の一つであるNa（ナトリウム）イオンの通り道を塞ぎ、乱れた脈（主に頻脈）を整える薬
※静注でない注射薬は麻酔として使う"
サンリズム50mg,,頻脈性不整脈,,Naチャネル遮断薬,,脈に関与する電気信号の一つであるNa（ナトリウム）イオンの通り道を塞ぎ、乱れた脈（主に頻脈）を整える薬
ヒドロコルチゾン酸エステルNa500mg,,"ショック, 循環不全, 気管支喘息",,水溶性ヒドロコルチゾン製剤,,"・心機能促進
・末梢血管拡張作用
・ライソゾーム膜安定化作用（MDFの産生防止）
・乳酸の蓄積防止"
メプチンエアー10μg,,"慢性気管支炎, 気管支喘息, 気道閉塞性障害, 肺気腫",,短時間作用型β2刺激薬（SABA）,,気管支をすばやく広げ、呼吸を楽にして咳や喘息発作などを和らげる薬
イソゾール0.5g,,"循環不全, 痙攣, 麻酔",,全身麻酔剤,,"麻酔作用
チアミラールナトリウムは超短時間型のバルビツレートであり、脳のGABA受容体複合体に作用して、GABAの作用を増強する"
フルマゼニル0.5mg,,鎮静や呼吸抑制の改善,,ベンゾジアゼピン受容体拮抗剤,,ベンゾジアゼピン受容体に結合しているベンゾジアゼピン系薬剤と置き換わることにより、ベンゾジアゼピン系薬剤の薬効を消失させる
ミタゾラム注10mg,,"鎮静, 麻酔",,催眠鎮静剤,,ミダゾラムはベンゾジアゼピン受容体に働き、ベンゾジアゼピン受容体とGABA受容体との相互作用によりGABA受容体でのGABA親和性を増し、間接的にGABAの作用を増強するとされている
プロポフォール静注1%20ml,,"鎮静, 麻酔",,全身麻酔・鎮静用剤,,麻酔の作用はあるが機序は解明されていない
フロセミド20mg,,"心不全, 浮腫, 高血圧",,ループ利尿薬,,
カルチコール850mg/10ml,,"テタニー, テタニー関連症状, 小児脂肪便におけるカルシウム拮抗剤補給",,カルシウム製剤,,体内にカルシウムを補充し、骨粗しょう症、高リン血症、消化器症状などを改善する薬
ジアゼパム注10mg,,"不安, 抑うつ, 痙攣, 緊張",,抗てんかん・抗不安薬（ベンゾジアゼピン系）,,"・脳内のベンゾジアゼピン受容体に作用し神経の興奮を抑制することで、てんかんなどによるけいれん発作などの症状を抑える
・脳の興奮などを抑えることで不安、緊張、不眠などを改善する"
メイロン,,"メニエール, 薬物中毒",,炭酸水素ナトリウム製剤,,
ソル・コーテフ,,,,,,
