薬剤一般名,薬剤商品名,効果効能,Tmax/hr,薬効分類,効果発現時間,注意点
DOB,ドブタミン,急性循環不全,,急性循環不全改善薬,,心収縮力増強
セフトリアキソンナトリウム,,"敗血症, 肺炎, 腎盂腎炎",,セフェム系抗菌薬,,100ml
DEX,デクスメデトミジン,鎮静,,α2作動性鎮静剤,,NPPV装着時、苦痛緩和
ソル・メドロール,,"急性循環不全, 自己免疫疾患",,副腎皮質ホルモン,,ステロイドパルス療法
カルペリチド,ハンプ,"急性心不全, 慢性心不全",,α型ヒト心房性ナトリウム利尿ポリペプチド製剤,,"血管拡張作用
利尿作用"
KCL,,電解質補正,,カリウム製剤,,
ソルアセトF,,"代謝性アシドーシスの補正, 細胞外液の補給・補正",,等張電解質輸液,,
ノルアドレナリン,,ショック,,血圧上昇剤,,
オペプラゾール,,"潰瘍, 胃粘膜病変",,プロトンポンプ阻害薬,,20ml：ブドウ糖液or生食で溶解
☆メイン輸液の違い,,,,,,
ビーフリード,,"低栄養, 低蛋白症, 術後",,末梢静脈栄養輸液製剤（PPN製剤）,,
ラシックス,フロセミド注,"うっ血性心不全, 浮腫, 高血圧",,ループ利尿薬,,メイン点滴つないでいる人は側管から入れる
スルバシリン,,"肺炎, 腹膜炎, 膀胱炎",,ペニシリン系抗菌薬,,100ml
☆抗菌薬の違い,,,,抗菌薬,,
ブロムヘキシン塩酸塩,,去痰,,去痰薬,,
タゾピペ,,"感染, 敗血症, 肺炎, 腎盂腎炎",,β-ラクタマーゼ阻害剤配合抗生物質製剤,,
メロペン,,"感染, 敗血症, 肺炎",,カルバペネム系抗菌薬,,メロぺネム
ネオフィリン,,"気管支喘息, 閉塞性肺疾患",,アミノフィリン製剤,,心臓刺激作用、利尿作用、気管支拡張作用
アタラックス-P,,"不安, 抑うつ, 緊張",,抗アレルギー性緩和精神安定剤,,アタP
リン酸2カリウム,,電解質補正,,リン酸2カリウム液,,
ニトログリセン,,"急性心不全, 狭心症, 高血圧",,硝酸薬,,降圧剤、血管拡張
エルネオパ,,"ほか, カロリー補給, 水分補給, 電解質補給",,高カロリー輸液製剤（TPN製剤）,,
フェジン,,鉄欠乏性貧血,,含糖酸化鉄注射薬,,
バンコマイシン,,"感染, 肺炎",,グリコペプチド系抗菌薬,,
ペルジピン,,"心不全, 高血圧",,カルシウム拮抗薬（ジヒドロピリジン系カルシウム拮抗薬）,,"末梢血管・冠動脈拡張
→狭心症発作の予防薬"
ジゴシン,,"うっ血性心不全, 心不全, 頻脈",,ジギタリス製剤,,心筋の収縮力を強くし、速くなりすぎた脈を整え、心不全などの治療に使用される薬
アルガトロバン,,"慢性動脈閉塞症, 脳血栓症",,抗トロンビン剤,,"以下3つの機能を抑制する
・フィブリン生成
・血小板凝集
・血管収縮"
イントラリポス,,栄養補給,,末梢静脈栄養輸液製剤（PPN製剤）,,
モルヒネ,,"疼痛, 鎮静",,オピオイド鎮痛薬：麻薬,,苦痛緩和
ダイビタミックス,,ビタミン欠乏,,複合ビタミン剤,,ビタミンを複数の種類配合することで体内でのビタミン不足を補い、神経や皮膚などの諸症状を改善する薬
硝酸Mg,,電解質補正,,,,Mg2+及びSO42-を含有し、電解質補液の電解質を補正する
ソセゴン,,鎮静,,,,
