薬剤一般名,薬剤商品名,効果効能,Tmax/hr,薬効分類,効果発現時間,注意点,一般名・成分名,禁忌・重要な注意,作用機序・薬理作用,重大な副作用,看護のポイント,出典,出典URL,最終確認日,参照製品
"アルダクトンA錠25mg・50mg",,"高血圧症, 心性・腎性・肝性などの浮腫, 原発性アルドステロン症",,"抗アルドステロン性利尿・降圧剤",,,"スピロノラクトン","無尿・急性腎不全、高カリウム血症、アジソン病、本剤過敏症は禁忌。タクロリムス、エプレレノン、エサキセレノン、ミトタンと併用しない。カリウム製剤などとの併用で高カリウム血症に注意する。","遠位尿細管でアルドステロンに拮抗し、ナトリウムと水の排泄を促進する一方、カリウム排泄を抑える。","高カリウム血症・低ナトリウム血症・代謝性アシドーシスなどの電解質異常、急性腎不全、TEN、Stevens-Johnson症候群。","血清K・Na、腎機能、血圧、体重、浮腫、尿量を確認する。脱力、不整脈、倦怠感、脱水、めまいを観察する。夜間排尿を避ける必要がある場合は午前中の服用が望ましい。","PMDA 医療用医薬品情報「アルダクトンA錠25mg・50mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2133001C1097_3?user=1","2026-07-23","アルダクトンA錠25mg・50mg"
"トラマールOD錠25mg・50mg",,"非オピオイド鎮痛剤で治療困難ながん疼痛, 非オピオイド鎮痛剤で治療困難な慢性疼痛",,"非麻薬性オピオイド鎮痛剤",,,"トラマドール塩酸塩","12歳未満、急性中毒、管理不十分なてんかん、本剤過敏症は禁忌。MAO阻害薬の投与中・中止後14日以内、ナルメフェン投与中・中止後1週間以内は使用しない。呼吸抑制、痙攣、依存、セロトニン症候群に注意する。","μオピオイド受容体を刺激し、ノルアドレナリンとセロトニンの再取り込みも阻害して鎮痛作用を示す。","ショック・アナフィラキシー、呼吸抑制、痙攣、依存性、意識消失。","疼痛、意識、呼吸数・SpO2、眠気、悪心、便秘、ふらつきを観察する。向精神薬、睡眠薬、アルコール、他のオピオイドの使用を確認する。長期使用後は急に中止せず、退薬症候に注意する。","PMDA 医療用医薬品情報「トラマールOD錠25mg・50mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1149038F1024_1?user=1","2026-07-23","トラマールOD錠25mg・50mg"
"アスパラカリウム錠300mg",,"降圧利尿剤・副腎皮質ホルモン・強心配糖体などの使用時におけるカリウム補給, 低カリウム血症型周期性四肢麻痺, 心疾患時のカリウム補給など",,"カリウム補給剤",,,"L-アスパラギン酸カリウム","重篤な腎機能障害、アジソン病、高カリウム血症、消化管通過障害、高カリウム血性周期性四肢麻痺、本剤過敏症は禁忌。高血圧症に使用するエプレレノン、エサキセレノンと併用しない。","カリウムを補給して細胞内外の電解質バランスを整える。アスパラギン酸はカリウムの組織移行に関与すると考えられている。","一時に大量投与した場合の心臓伝導障害。","血清K、腎機能、尿量、心電図を確認する。脱力、しびれ、徐脈、不整脈など高カリウム血症の徴候と、腹痛・消化器症状を観察する。消化管狭窄や嚥下障害の有無も確認する。","PMDA 医療用医薬品情報「アスパラカリウム錠300mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3229005B1038_3?user=1","2026-07-23","アスパラカリウム錠300mg"
"リクシアナOD錠15mg・30mg・60mg",,"非弁膜症性心房細動における虚血性脳卒中・全身性塞栓症の発症抑制, 静脈血栓塞栓症の治療・再発抑制, 下肢整形外科手術後の静脈血栓塞栓症の発症抑制, 慢性血栓塞栓性肺高血圧症における血栓・塞栓形成の抑制",,"経口FXa阻害剤",,,"エドキサバントシル酸塩水和物","活動性出血、急性細菌性心内膜炎、本剤過敏症は禁忌。適応により腎不全・高度腎機能障害や凝血異常を伴う肝疾患も禁忌となる。腎機能、体重、併用薬、適応に応じて用量を確認する。","活性化血液凝固第X因子（FXa）を選択的・可逆的に阻害し、トロンビン生成と血栓形成を抑制する。","脾破裂に至る脾臓出血を含む重大な出血、急性腎障害、肝機能障害・黄疸、間質性肺疾患、血小板減少症。","出血徴候、便・尿の色、皮下出血、腹痛、血圧、Hb・血小板、腎機能、肝機能を確認する。手術・処置、転倒、抜歯予定と最終服用時刻を共有する。自己判断で休薬・倍量服用しないよう確認する。","PMDA 医療用医薬品情報「リクシアナOD錠15mg・30mg・60mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3339002F4029_1?user=1","2026-07-23","リクシアナOD錠15mg・30mg・60mg"
"ラシックス錠10mg・20mg・40mg",,"高血圧症, 心性・腎性・肝性などの浮腫, 月経前緊張症に伴う浮腫, 尿路結石排出促進",,"ループ利尿剤",,,"フロセミド","無尿、肝性昏睡、明らかな低Na・低K血症、スルフォンアミド誘導体過敏症、デスモプレシン使用中は禁忌。急激な利尿による脱水、低血圧、電解質異常に注意する。","ヘンレ係蹄上行脚でNa-K-2Cl共輸送体を阻害し、ナトリウム・クロールと水の排泄を増加させる。","ショック・アナフィラキシー、再生不良性貧血・汎血球減少症などの血液障害、TEN・Stevens-Johnson症候群、多形紅斑、急性汎発性発疹性膿疱症、水疱性類天疱瘡、難聴、低カリウム血症を伴う心室性不整脈（Torsade de pointes）、間質性腎炎、間質性肺炎。","血圧、体重、浮腫、尿量、呼吸状態、Na・K、腎機能、心電図を確認する。脱水、起立性低血圧、筋力低下、動悸・失神などの不整脈徴候、聴力変化を観察する。夜間排尿を避ける必要がある場合は服用時刻を確認する。","PMDA 医療用医薬品情報「ラシックス錠10mg・20mg・40mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2139005F1052_1?user=1","2026-07-23","ラシックス錠10mg・20mg・40mg"
"ワソラン錠40mg",,"頻脈性不整脈, 狭心症・心筋梗塞などの虚血性心疾患",,"Ca拮抗性不整脈治療剤",,,"ベラパミル塩酸塩","重篤なうっ血性心不全、第Ⅱ度以上の房室ブロック・洞房ブロック、妊婦、本剤過敏症は禁忌。イバブラジン、ロミタピドと併用しない。自己判断で急に中止しない。","L型Caチャネルを遮断し、房室結節の伝導と心筋収縮を抑制するとともに冠血管を拡張する。","循環器障害（心不全、洞停止、房室ブロック、徐脈、意識消失）、皮膚障害（Stevens-Johnson症候群、多形紅斑、乾癬型皮疹など）。","脈拍、血圧、心電図、胸部症状、浮腫を確認する。徐脈、PQ延長、房室ブロック、低血圧、心不全悪化に注意する。併用薬とグレープフルーツジュースの摂取を確認する。","PMDA 医療用医薬品情報「ワソラン錠40mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2171008F1070_1?user=1","2026-07-23","ワソラン錠40mg"
"メチコバール錠250μg・500μg",,"末梢性神経障害",,"末梢性神経障害治療剤",,,"メコバラミン","電子添文に禁忌の記載なし。効果が認められない場合、月余にわたって漫然と使用しない。水銀およびその化合物を取り扱う職業従事者への長期大量投与を避ける。","補酵素型ビタミンB12としてメチル基転移反応に関与し、核酸・蛋白合成、軸索内輸送、髄鞘形成を促して末梢神経機能を改善する。","電子添文の「重大な副作用」欄に記載なし。","しびれ、疼痛、感覚・運動機能の変化と治療効果を確認する。食欲不振、悪心・嘔吐、下痢、発疹がないか観察する。遮光保存を確認する。","PMDA 医療用医薬品情報「メチコバール錠250μg・500μg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3136004C1038_1?user=1","2026-07-23","メチコバール錠250μg・500μg"
"ムコスタ錠100mg",,"胃潰瘍, 急性胃炎・慢性胃炎急性増悪期の胃粘膜病変の改善",,"胃炎・胃潰瘍治療剤",,,"レバミピド","本剤の成分に対する過敏症の既往歴がある患者には投与しない。","胃粘膜のプロスタグランジン増加、胃粘液量増加、活性酸素抑制などにより胃粘膜を保護し、損傷粘膜の治癒を促す。","ショック・アナフィラキシー、白血球減少・血小板減少、肝機能障害・黄疸。","腹痛、悪心、便通、消化器症状の変化を確認する。発疹、呼吸困難、発熱、咽頭痛、出血傾向、倦怠感、黄疸がないか観察し、必要時は血算・肝機能を確認する。","PMDA 医療用医薬品情報「ムコスタ錠100mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2329021F1102_1?user=1","2026-07-23","ムコスタ錠100mg"
"シングレア錠5mg・10mg・OD錠10mg",,"気管支喘息, アレルギー性鼻炎",,"ロイコトリエン受容体拮抗剤",,,"モンテルカストナトリウム","本剤の成分に対する過敏症の既往歴がある患者には投与しない。喘息発作を速やかに軽減する薬ではない。因果関係は明らかでないが、抑うつ、攻撃的行動、自殺念慮などの精神神経症状が報告されている。","システイニルロイコトリエン受容体を選択的に遮断し、気道収縮、血管透過性亢進、粘液分泌などを抑える。","アナフィラキシー、血管浮腫、劇症肝炎・肝炎・肝機能障害・黄疸、中毒性表皮壊死融解症、Stevens-Johnson症候群、多形紅斑、血小板減少。","発作時治療薬が別に確保されているか確認し、喘息症状・救急薬使用回数を観察する。気分変化、不眠、悪夢、攻撃性、自殺念慮などの行動変化、発疹・肝障害徴候、紫斑・鼻出血・歯肉出血を本人・家族にも確認する。","PMDA 医療用医薬品情報「シングレア錠5mg・10mg・OD錠10mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/4490026F2059_3?user=1","2026-07-23","シングレア錠5mg・10mg・OD錠10mg"
"マグミット錠100mg・200mg・250mg・330mg・500mg",,"制酸作用と症状改善, 便秘症, 尿路蓚酸カルシウム結石の発生予防",,"制酸・緩下剤",,,"酸化マグネシウム","高マグネシウム血症に注意する。腎機能障害、高齢者、長期・高用量投与では血清Mgを定期的に確認する。テトラサイクリン系・ニューキノロン系抗菌薬、ビスホスホネートなどの吸収を低下させるため服用間隔に注意する。","胃内で胃酸を中和する。腸内では難吸収性の重炭酸塩・炭酸塩となって浸透圧を高め、腸管内に水分を保持して排便を促す。","高マグネシウム血症。","便回数・便性状、腹痛、下痢を確認する。腎機能と血清Mgを確認し、悪心、筋力低下、傾眠、徐脈、血圧低下、呼吸抑制などに注意する。併用薬との服用間隔を薬剤師・指示内容で確認する。","PMDA 医療用医薬品情報「マグミット錠100mg・200mg・250mg・330mg・500mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2344009F1035_7?user=1","2026-07-23","マグミット錠100mg・200mg・250mg・330mg・500mg"
