手技,分類,概要
膀胱留置カテーテル,排泄援助技術,適応、挿入、管理、観察項目とリスク
中心静脈カテーテル（CVC）,与薬の技術,挿入目的、管理、消毒、ルート交換と観察
洗髪,清潔・衣生活援助技術,洗髪に必要な準備と実施手順
手浴・足浴,清潔・衣生活援助技術,手浴・足浴に必要な準備と実施手順
陰部洗浄,清潔・衣生活援助技術,陰部洗浄に必要な準備と実施手順
清拭,清潔・衣生活援助技術,清拭に必要な準備と実施手順
ネーザルハイフロー（NHF）,呼吸・循環を整える技術,概要、適応、設定時の観察項目
人工呼吸器,呼吸・循環を整える技術,装着中の観察、記録、機器管理
便処置（浣腸・坐薬・摘便）,排泄援助技術,浣腸・坐薬・摘便の使い分けと手順
NPPV（非侵襲的陽圧換気療法）,呼吸・循環を整える技術,目的、適応、設定と導入後の観察
吸入,呼吸・循環を整える技術,吸入機器の準備、実施手順と観察
導尿・残尿測定,排泄援助技術,残尿測定と導尿の準備・手順
直腸内与薬（坐薬）,与薬の技術,坐薬投与の準備と実施手順
輸液管理,与薬の技術,輸液ポンプ・シリンジポンプの管理
経管栄養,食事援助技術,挿入・投与手順、観察項目と栄養剤
心電図,症状・生体機能管理技術,モニター・12誘導心電図の装着と見方
透析,症状・生体機能管理技術,目的、観察項目、カテーテル管理
包帯法,創傷管理技術,包帯法の基本と実施手順
注射,与薬の技術,注射の種類、部位・角度、実施手順
ドップラー,呼吸・循環を整える技術,ドップラーを用いた血流評価の目的と手順
吸引,呼吸・循環を整える技術,必要物品と吸引前後の観察項目
口腔ケア,清潔・衣生活援助技術,口腔内の観察、必要物品とケア手順
酸素療法,呼吸・循環を整える技術,酸素投与中の観察、流量と残量確認
IN-OUTバランス,呼吸・循環を整える技術,必要水分量、過不足の目安と収支計算
DIBキャップ,排泄援助技術,DIBキャップの取り扱い
KT介入・嚥下評価(KTBC),食事援助技術,摂食嚥下の仕組み、評価と食事支援
末梢静脈路確保（ルートキープ）,与薬の技術,部位選択、穿刺、固定、観察項目と合併症
胃管,症状・生体機能管理技術,胃管の目的、合併症、挿入時の確認
採血,症状・生体機能管理技術,注意点、実施手順と採血管の順番
輸血,与薬の技術,実施前検査、手順、副作用と観察項目
胸腔ドレーン/胸腔穿刺,呼吸・循環を整える技術,目的、管理・観察、挿入・抜去の介助
検体検査,症状・生体機能管理技術,喀痰・便・血液などの検体採取と提出
動脈血ライン（Aライン）,症状・生体機能管理技術,観察、挿入・抜去介助、ルート管理
嚥下間接機能訓練,食事援助技術,嚥下機能を支える間接訓練
急変時対応,救命救急処置技術,ABCDE評価、一次・二次救命処置
エンゼルケア（死後の処置）,エンゼルケア,死亡確認後のケアと出棺までの流れ
血液培養採取,症状・生体機能管理技術,血液培養採取の準備と実施手順
心膜穿刺/心膜ドレナージ,呼吸・循環を整える技術,目的・適応、合併症、管理と挿入介助
